Date,CODMBR,raw,Diff1
2021/1/1,475,475,0
2021/1/2,484,479.5,9
2021/1/3,460,473,-24
2021/1/4,520,484.75,60
2021/1/5,516,491,-4
2021/1/6,507,493.6666667,-9
2021/1/7,496,494,-11
2021/1/8,485,495.4285714,-11
2021/1/9,453,491,-32
2021/1/10,441,488.2857143,-12
2021/1/11,457,479.2857143,16
2021/1/12,460,471.2857143,3
2021/1/13,550,477.4285714,90
2021/1/14,621,495.2857143,71
2021/1/15,586,509.7142857,-35
2021/1/16,549,523.4285714,-37
2021/1/17,535,536.8571429,-14
2021/1/18,521,546,-14
2021/1/19,505,552.4285714,-16
2021/1/20,499,545.1428571,-6
2021/1/21,485,525.7142857,-14
2021/1/22,491,512.1428571,6
2021/1/23,503,505.5714286,12
2021/1/24,492,499.4285714,-11
2021/1/25,512,498.1428571,20
2021/1/26,498,497.1428571,-14
2021/1/27,509,498.5714286,11
2021/1/28,556,508.7142857,47
2021/1/29,602,524.5714286,46
2021/1/30,622,541.5714286,20
2021/1/31,588,555.2857143,-34
2021/2/1,563,562.5714286,-25
2021/2/2,574,573.4285714,11
2021/2/3,545,578.5714286,-29
2021/2/4,569,580.4285714,24
2021/2/5,541,571.7142857,-28
2021/2/6,580,565.7142857,39
2021/2/7,601,567.5714286,21
2021/2/8,586,570.8571429,-15
2021/2/9,611,576.1428571,25
2021/2/10,577,580.7142857,-34
2021/2/11,564,580,-13
2021/2/12,556,582.1428571,-8
2021/2/13,536,575.8571429,-20
2021/2/14,499,561.2857143,-37
2021/2/15,521,552,22
2021/2/16,515,538.2857143,-6
2021/2/17,502,527.5714286,-13
2021/2/18,512,520.1428571,10
2021/2/19,503,512.5714286,-9
2021/2/20,490,506,-13
2021/2/21,472,502.1428571,-18
2021/2/22,498,498.8571429,26
2021/2/23,485,494.5714286,-13
2021/2/24,477,491,-8
2021/2/25,485,487.1428571,8
2021/2/26,451,479.7142857,-34
2021/2/27,421,469.8571429,-30
2021/2/28,419,462.2857143,-2
2021/3/1,429,452.4285714,10
2021/3/2,431,444.7142857,2
2021/3/3,424,437.1428571,-7
2021/3/4,428,429,4
2021/3/5,419,424.4285714,-9
2021/3/6,412,423.1428571,-7
2021/3/7,410,421.8571429,-2
2021/3/8,402,418,-8
2021/3/9,399,413.4285714,-3
2021/3/10,406,410.8571429,7
2021/3/11,359,401,-47
2021/3/12,346,390.5714286,-13
2021/3/13,355,382.4285714,9
2021/3/14,364,375.8571429,9
2021/3/15,340,367,-24
2021/3/16,347,359.5714286,7
2021/3/17,350,351.5714286,3
2021/3/18,387,355.5714286,37
2021/3/19,375,359.7142857,-12
2021/3/20,367,361.4285714,-8
2021/3/21,351,359.5714286,-16
2021/3/22,361,362.5714286,10
2021/3/23,354,363.5714286,-7
2021/3/24,345,362.8571429,-9
2021/3/25,353,358,8
2021/3/26,345,353.7142857,-8
2021/3/27,366,353.5714286,21
2021/3/28,352,353.7142857,-14
2021/3/29,341,350.8571429,-11
2021/3/30,351,350.4285714,10
2021/3/31,364,353.1428571,13
2021/4/1,349,352.5714286,-15
2021/4/2,353,353.7142857,4
2021/4/3,360,352.8571429,7
2021/4/4,346,352,-14
2021/4/5,339,351.7142857,-7
2021/4/6,325,348,-14
2021/4/7,334,343.7142857,9
2021/4/8,351,344,17
2021/4/9,342,342.4285714,-9
2021/4/10,338,339.2857143,-4
2021/4/11,356,340.7142857,18
2021/4/12,346,341.7142857,-10
2021/4/13,362,347,16
2021/4/14,351,349.4285714,-11
2021/4/15,374,352.7142857,23
2021/4/16,354,354.4285714,-20
2021/4/17,344,355.2857143,-10
2021/4/18,323,350.5714286,-21
2021/4/19,346,350.5714286,23
2021/4/20,385,353.8571429,39
2021/4/21,374,357.1428571,-11
2021/4/22,366,356,-8
2021/4/23,378,359.4285714,12
2021/4/24,389,365.8571429,11
2021/4/25,331,367,-58
2021/4/26,315,362.5714286,-16
2021/4/27,365,359.7142857,50
2021/4/28,356,357.1428571,-9
2021/4/29,370,357.7142857,14
2021/4/30,361,355.2857143,-9
2021/5/1,362,351.4285714,1
2021/5/2,357,355.1428571,-5
2021/5/3,334,357.8571429,-23
2021/5/4,351,355.8571429,17
2021/5/5,325,351.4285714,-26
2021/5/6,352,348.8571429,27
2021/5/7,345,346.5714286,-7
2021/5/8,357,345.8571429,12
2021/5/9,345,344.1428571,-12
2021/5/10,375.1,350.0142857,30.1
2021/5/11,365,352.0142857,-10.1
2021/5/12,354,356.1571429,-11
2021/5/13,364,357.8714286,10
2021/5/14,375,362.1571429,11
2021/5/15,384,366.0142857,9
2021/5/16,378,370.7285714,-6
2021/5/17,376,370.8571429,-2
2021/5/18,387,374,11
2021/5/19,354,374,-33
2021/5/20,365,374.1428571,11
2021/5/21,354,371.1428571,-11
2021/5/22,355,367,1
2021/5/23,324,359.2857143,-31
2021/5/24,378,359.5714286,54
2021/5/25,351,354.4285714,-27
2021/5/26,499,375.1428571,148
2021/5/27,478,391.2857143,-21
2021/5/28,493,411.1428571,15
2021/5/29,469,427.4285714,-24
2021/5/30,426,442,-43
2021/5/31,440,450.8571429,14
2021/6/1,466,467.2857143,26
2021/6/2,454,460.8571429,-12
2021/6/3,505,464.7142857,51
2021/6/4,525,469.2857143,20
2021/6/5,510,475.1428571,-15
2021/6/6,486,483.7142857,-24
2021/6/7,475,488.7142857,-11
2021/6/8,484,491.2857143,9
2021/6/9,460,492.1428571,-24
2021/6/10,520,494.2857143,60
2021/6/11,516,493,-4
2021/6/12,507,492.5714286,-9
2021/6/13,496,494,-11
2021/6/14,485,495.4285714,-11
2021/6/15,453,491,-32
2021/6/16,441,488.2857143,-12
2021/6/17,457,479.2857143,16
2021/6/18,359,456.8571429,-98
2021/6/19,346,433.8571429,-13
2021/6/20,355,413.7142857,9
2021/6/21,364,396.4285714,9
2021/6/22,340,380.2857143,-24
2021/6/23,347,366.8571429,7
2021/6/24,350,351.5714286,3
2021/6/25,387,355.5714286,37
2021/6/26,375,359.7142857,-12
2021/6/27,367,361.4285714,-8
2021/6/28,351,359.5714286,-16
2021/6/29,361,362.5714286,10
2021/6/30,354,363.5714286,-7
2021/7/1,345,362.8571429,-9
2021/7/2,353,358,8
2021/7/3,345,353.7142857,-8
2021/7/4,366,353.5714286,21
2021/7/5,352,353.7142857,-14
2021/7/6,341,350.8571429,-11
2021/7/7,351,350.4285714,10
2021/7/8,364,353.1428571,13
2021/7/9,384,357.5714286,20
2021/7/10,378,362.2857143,-6
2021/7/11,376,363.7142857,-2
2021/7/12,387,368.7142857,11
2021/7/13,354,370.5714286,-33
2021/7/14,365,372.5714286,11
2021/7/15,354,371.1428571,-11
2021/7/16,355,367,1
2021/7/17,324,359.2857143,-31
2021/7/18,378,359.5714286,54
2021/7/19,351,354.4285714,-27
2021/7/20,499,375.1428571,148
2021/7/21,478,391.2857143,-21
2021/7/22,493,411.1428571,15
2021/7/23,469,427.4285714,-24
2021/7/24,426,442,-43
2021/7/25,440,450.8571429,14
2021/7/26,466,467.2857143,26
2021/7/27,454,460.8571429,-12
2021/7/28,505,464.7142857,51
2021/7/29,525,469.2857143,20
2021/7/30,510,475.1428571,-15
2021/7/31,486,483.7142857,-24
2021/8/1,475,488.7142857,-11
2021/8/2,484,491.2857143,9
2021/8/3,460,492.1428571,-24
2021/8/4,520,494.2857143,60
2021/8/5,516,493,-4
2021/8/6,507,492.5714286,-9
2021/8/7,496,494,-11
2021/8/8,485,495.4285714,-11
2021/8/9,453,491,-32
2021/8/10,441,488.2857143,-12
2021/8/11,457,479.2857143,16
2021/8/12,460,471.2857143,3
2021/8/13,550,477.4285714,90
2021/8/14,621,495.2857143,71
2021/8/15,586,509.7142857,-35
2021/8/16,549,523.4285714,-37
2021/8/17,535,536.8571429,-14
2021/8/18,521,546,-14
2021/8/19,505,552.4285714,-16
2021/8/20,499,545.1428571,-6
2021/8/21,485,525.7142857,-14
2021/8/22,520,516.2857143,35
2021/8/23,516,511.5714286,-4
2021/8/24,507,507.5714286,-9
2021/8/25,496,504,-11
2021/8/26,485,501.1428571,-11
2021/8/27,453,494.5714286,-32
2021/8/28,441,488.2857143,-12
2021/8/29,457,479.2857143,16
2021/8/30,359,456.8571429,-98
2021/8/31,346,433.8571429,-13
2021/9/1,355,413.7142857,9
2021/9/2,364,396.4285714,9
2021/9/3,340,380.2857143,-24
2021/9/4,347,366.8571429,7
2021/9/5,350,351.5714286,3
2021/9/6,387,355.5714286,37
2021/9/7,375,359.7142857,-12
2021/9/8,367,361.4285714,-8
2021/9/9,351,359.5714286,-16
2021/9/10,361,362.5714286,10
2021/9/11,354,363.5714286,-7
2021/9/12,345,362.8571429,-9
2021/9/13,353,358,8
2021/9/14,345,353.7142857,-8
2021/9/15,366,353.5714286,21
2021/9/16,352,353.7142857,-14
2021/9/17,341,350.8571429,-11
2021/9/18,351,350.4285714,10
2021/9/19,521,375.5714286,170
2021/9/20,505,397.2857143,-16
2021/9/21,499,419.2857143,-6
2021/9/22,485,436.2857143,-14
2021/9/23,520,460.2857143,35
2021/9/24,516,485.2857143,-4
2021/9/25,507,507.5714286,-9
2021/9/26,496,504,-11
2021/9/27,485,501.1428571,-11
2021/9/28,453,494.5714286,-32
2021/9/29,441,488.2857143,-12
2021/9/30,457,479.2857143,16
2021/10/1,359,456.8571429,-98
2021/10/2,346,433.8571429,-13
2021/10/3,355,413.7142857,9
2021/10/4,364,396.4285714,9
2021/10/5,340,380.2857143,-24
2021/10/6,347,366.8571429,7
2021/10/7,350,351.5714286,3
2021/10/8,376,354,26
2021/10/9,387,359.8571429,11
2021/10/10,354,359.7142857,-33
2021/10/11,365,359.8571429,11
2021/10/12,354,361.8571429,-11
2021/10/13,355,363,1
2021/10/14,324,359.2857143,-31
2021/10/15,378,359.5714286,54
2021/10/16,351,354.4285714,-27
2021/10/17,499,375.1428571,148
2021/10/18,478,391.2857143,-21
2021/10/19,493,411.1428571,15
2021/10/20,469,427.4285714,-24
2021/10/21,426,442,-43
2021/10/22,376,441.7142857,-50
2021/10/23,387,446.8571429,11
2021/10/24,354,426.1428571,-33
2021/10/25,365,410,11
2021/10/26,354,390.1428571,-11
2021/10/27,355,373.8571429,1
2021/10/28,324,359.2857143,-31
2021/10/29,378,359.5714286,54
2021/10/30,351,354.4285714,-27
2021/10/31,499,375.1428571,148
2021/11/1,478,391.2857143,-21
2021/11/2,493,411.1428571,15
2021/11/3,323,406.5714286,-170
2021/11/4,356,411.1428571,33
2021/11/5,378,411.1428571,22
2021/11/6,362,412.7142857,-16
2021/11/7,357,392.4285714,-5
2021/11/8,334,371.8571429,-23
2021/11/9,351,351.5714286,17
2021/11/10,325,351.8571429,-26
2021/11/11,352,351.2857143,27
2021/11/12,345,346.5714286,-7
2021/11/13,357,345.8571429,12
2021/11/14,345,344.1428571,-12
2021/11/15,375.1,350.0142857,30.1
2021/11/16,365,352.0142857,-10.1
2021/11/17,354,356.1571429,-11
2021/11/18,364,357.8714286,10
2021/11/19,375,362.1571429,11
2021/11/20,384,366.0142857,9
2021/11/21,378,370.7285714,-6
2021/11/22,376,370.8571429,-2
2021/11/23,387,374,11
2021/11/24,354,374,-33
2021/11/25,365,374.1428571,11
2021/11/26,354,371.1428571,-11
2021/11/27,355,367,1
2021/11/28,324,359.2857143,-31
2021/11/29,378,359.5714286,54
2021/11/30,351,354.4285714,-27
2021/12/1,499,375.1428571,148
2021/12/2,478,391.2857143,-21
2021/12/3,493,411.1428571,15
2021/12/4,469,427.4285714,-24
2021/12/5,426,442,-43
2021/12/6,440,450.8571429,14
2021/12/7,466,467.2857143,26
2021/12/8,454,460.8571429,-12
2021/12/9,505,464.7142857,51
2021/12/10,525,469.2857143,20
2021/12/11,510,475.1428571,-15
2021/12/12,486,483.7142857,-24
2021/12/13,475,488.7142857,-11
2021/12/14,484,491.2857143,9
2021/12/15,460,492.1428571,-24
2021/12/16,520,494.2857143,60
2021/12/17,516,493,-4
2021/12/18,507,492.5714286,-9
2021/12/19,496,494,-11
2021/12/20,485,495.4285714,-11
2021/12/21,453,491,-32
2021/12/22,441,488.2857143,-12
2021/12/23,457,479.2857143,16
2021/12/24,460,471.2857143,3
2021/12/25,550,477.4285714,90
2021/12/26,621,495.2857143,71
2021/12/27,586,509.7142857,-35
2021/12/28,549,523.4285714,-37
2021/12/29,535,536.8571429,-14
2021/12/30,521,546,-14
2021/12/31,505,552.4285714,-16
2022/1/1,499,545.1428571,-6
2022/1/2,485,525.7142857,-14
2022/1/3,491,512.1428571,6
2022/1/4,503,505.5714286,12
2022/1/5,492,499.4285714,-11
2022/1/6,512,498.1428571,20
2022/1/7,498,497.1428571,-14
2022/1/8,509,498.5714286,11
2022/1/9,556,508.7142857,47
2022/1/10,602,524.5714286,46
2022/1/11,622,541.5714286,20
2022/1/12,588,555.2857143,-34
2022/1/13,563,562.5714286,-25
2022/1/14,574,573.4285714,11
2022/1/15,545,578.5714286,-29
2022/1/16,569,580.4285714,24
2022/1/17,541,571.7142857,-28
2022/1/18,580,565.7142857,39
2022/1/19,601,567.5714286,21
2022/1/20,586,570.8571429,-15
2022/1/21,611,576.1428571,25
2022/1/22,577,580.7142857,-34
2022/1/23,564,580,-13
2022/1/24,556,582.1428571,-8
2022/1/25,536,575.8571429,-20
2022/1/26,499,561.2857143,-37
2022/1/27,521,552,22
2022/1/28,515,538.2857143,-6
2022/1/29,502,527.5714286,-13
2022/1/30,512,520.1428571,10
2022/1/31,503,512.5714286,-9
2022/2/1,490,506,-13
2022/2/2,472,502.1428571,-18
2022/2/3,498,498.8571429,26
2022/2/4,485,494.5714286,-13
2022/2/5,477,491,-8
2022/2/6,485,487.1428571,8
2022/2/7,451,479.7142857,-34
2022/2/8,421,469.8571429,-30
2022/2/9,419,462.2857143,-2
2022/2/10,429,452.4285714,10
2022/2/11,431,444.7142857,2
2022/2/12,424,437.1428571,-7
2022/2/13,428,429,4
2022/2/14,419,424.4285714,-9
2022/2/15,412,423.1428571,-7
2022/2/16,410,421.8571429,-2
2022/2/17,402,418,-8
2022/2/18,399,413.4285714,-3
2022/2/19,406,410.8571429,7
2022/2/20,359,401,-47
2022/2/21,346,390.5714286,-13
2022/2/22,355,382.4285714,9
2022/2/23,364,375.8571429,9
2022/2/24,340,367,-24
2022/2/25,347,359.5714286,7
2022/2/26,350,351.5714286,3
2022/2/27,387,355.5714286,37
2022/2/28,375,359.7142857,-12
2022/3/1,367,361.4285714,-8
2022/3/2,351,359.5714286,-16
2022/3/3,361,362.5714286,10
2022/3/4,354,363.5714286,-7
2022/3/5,345,362.8571429,-9
2022/3/6,353,358,8
2022/3/7,345,353.7142857,-8
2022/3/8,366,353.5714286,21
2022/3/9,352,353.7142857,-14
2022/3/10,341,350.8571429,-11
2022/3/11,351,350.4285714,10
2022/3/12,364,353.1428571,13
2022/3/13,349,352.5714286,-15
2022/3/14,353,353.7142857,4
2022/3/15,360,352.8571429,7
2022/3/16,346,352,-14
2022/3/17,339,351.7142857,-7
2022/3/18,325,348,-14
2022/3/19,334,343.7142857,9
2022/3/20,351,344,17
2022/3/21,342,342.4285714,-9
2022/3/22,338,339.2857143,-4
2022/3/23,356,340.7142857,18
2022/3/24,346,341.7142857,-10
2022/3/25,362,347,16
2022/3/26,351,349.4285714,-11
2022/3/27,374,352.7142857,23
2022/3/28,354,354.4285714,-20
2022/3/29,344,355.2857143,-10
2022/3/30,323,350.5714286,-21
2022/3/31,346,350.5714286,23
2022/4/1,385,353.8571429,39
2022/4/2,374,357.1428571,-11
2022/4/3,366,356,-8
2022/4/4,378,359.4285714,12
2022/4/5,389,365.8571429,11
2022/4/6,331,367,-58
2022/4/7,315,362.5714286,-16
2022/4/8,365,359.7142857,50
2022/4/9,356,357.1428571,-9
2022/4/10,370,357.7142857,14
2022/4/11,361,355.2857143,-9
2022/4/12,344,348.8571429,-17
2022/4/13,354,352.1428571,10
2022/4/14,339,355.5714286,-15
2022/4/15,328,350.2857143,-11
2022/4/16,385,354.4285714,57
2022/4/17,346,351,-39
2022/4/18,334,347.1428571,-12
2022/4/19,317,343.2857143,-17
2022/4/20,321,338.5714286,4
2022/4/21,341,338.8571429,20
2022/4/22,366,344.2857143,25
2022/4/23,313,334,-53
2022/4/24,320,330.2857143,7
2022/4/25,298,325.1428571,-22
2022/4/26,305,323.4285714,7
2022/4/27,324,323.8571429,19
2022/4/28,303,318.4285714,-21
2022/4/29,298,308.7142857,-5
2022/4/30,338,312.2857143,40
2022/5/1,315,311.5714286,-23
2022/5/2,295,311.1428571,-20
2022/5/3,287,308.5714286,-8
2022/5/4,301,305.2857143,14
2022/5/5,317,307.2857143,16
2022/5/6,304,308.1428571,-13
2022/5/7,314,304.7142857,10
2022/5/8,287,300.7142857,-27
2022/5/9,278,298.2857143,-9
2022/5/10,286,298.1428571,8
2022/5/11,276,294.5714286,-10
2022/5/12,282,289.5714286,6
2022/5/13,269,284.5714286,-13
2022/5/14,294,281.7142857,25
2022/5/15,285,281.4285714,-9
2022/5/16,256,278.2857143,-29
2022/5/17,232,270.5714286,-24
2022/5/18,222,262.8571429,-10
2022/5/19,246,257.7142857,24
2022/5/20,249,254.8571429,3
2022/5/21,235,246.4285714,-14
2022/5/22,248,241.1428571,13
2022/5/23,234,238,-14
2022/5/24,210,234.8571429,-24
2022/5/25,267,241.2857143,57
2022/5/26,235,239.7142857,-32
2022/5/27,249,239.7142857,14
2022/5/28,227,238.5714286,-22
2022/5/29,215,233.8571429,-12
2022/5/30,163,223.7142857,-52
2022/5/31,204,222.8571429,41
2022/6/1,152,206.4285714,-52
2022/6/2,150,194.2857143,-2
2022/6/3,155,180.8571429,5
2022/6/4,178,173.8571429,23
2022/6/5,185,169.5714286,7
2022/6/6,194,174,9
2022/6/7,163,168.1428571,-31
2022/6/8,166,170.1428571,3
2022/6/9,172,173.2857143,6
2022/6/10,124,168.8571429,-48
2022/6/11,150,164.8571429,26
2022/6/12,126,156.4285714,-24
2022/6/13,138,148.4285714,12
2022/6/14,153,147,15
2022/6/15,159,146,6
2022/6/16,140,141.4285714,-19
2022/6/17,152,145.4285714,12
2022/6/18,103,138.7142857,-49
2022/6/19,124,138.4285714,21
2022/6/20,128,137,4
2022/6/21,135,134.4285714,7
2022/6/22,143,132.1428571,8
2022/6/23,145,132.8571429,2
2022/6/24,122,128.5714286,-23
2022/6/25,136,133.2857143,14
2022/6/26,124,133.2857143,-12
2022/6/27,145,135.7142857,21
2022/6/28,121,133.7142857,-24
2022/6/29,130,131.8571429,9
2022/6/30,141,131.2857143,11
2022/7/1,126,131.8571429,-15
2022/7/2,143,132.8571429,17
2022/7/3,139,135,-4
2022/7/4,121,131.5714286,-18
2022/7/5,135,133.5714286,14
2022/7/6,126,133,-9
2022/7/7,134,132,8
2022/7/8,141,134.1428571,7
2022/7/9,125,131.5714286,-16
2022/7/10,143,132.1428571,18
2022/7/11,161,137.8571429,18
2022/7/12,150,140,-11
2022/7/13,162,145.1428571,12
2022/7/14,168,150,6
2022/7/15,171,154.2857143,3
2022/7/16,163,159.7142857,-8
2022/7/17,145,160,-18
2022/7/18,152,158.7142857,7
2022/7/19,158,159.8571429,6
2022/7/20,150,158.1428571,-8
2022/7/21,178,159.5714286,28
2022/7/22,147,156.1428571,-31
2022/7/23,158,155.4285714,11
2022/7/24,166,158.4285714,8
2022/7/25,175,161.7142857,9
2022/7/26,167,163,-8
2022/7/27,188,168.4285714,21
2022/7/28,149,164.2857143,-39
2022/7/29,151,164.8571429,2
2022/7/30,132,161.1428571,-19
2022/7/31,145,158.1428571,13
2022/8/1,157,155.5714286,12
2022/8/2,143,152.1428571,-14
2022/8/3,140,145.2857143,-3
2022/8/4,146,144.8571429,6
2022/8/5,145,144,-1
2022/8/6,153,147,8
2022/8/7,146,147.1428571,-7
2022/8/8,142,145,-4
2022/8/9,152,146.2857143,10
2022/8/10,161,149.2857143,9
2022/8/11,136,147.8571429,-25
2022/8/12,196,155.1428571,60
2022/8/13,117,150,-79
2022/8/14,113,145.2857143,-4
2022/8/15,107,140.2857143,-6
2022/8/16,111,134.4285714,4
2022/8/17,108,126.8571429,-3
2022/8/18,125,125.2857143,17
2022/8/19,78,108.4285714,-47
2022/8/20,103,106.4285714,25
2022/8/21,121,107.5714286,18
2022/8/22,139,112.1428571,18
2022/8/23,126,114.2857143,-13
2022/8/24,134,118,8
2022/8/25,138,119.8571429,4
2022/8/26,107,124,-31
2022/8/27,102,123.8571429,-5
2022/8/28,111,122.4285714,9
2022/8/29,71,112.7142857,-40
2022/8/30,93,108,22
2022/8/31,87,101.2857143,-6
2022/9/1,98,95.57142857,11
2022/9/2,103,95,5
2022/9/3,95,94,-8
2022/9/4,102,92.71428571,7
2022/9/5,92,95.71428571,-10
