,P,DO
848,21.5,2.2
849,21.1,3.2
850,20.5,2.9
851,20.3,2.9
852,19.9,3.5
853,18.9,3.3
854,18.8,2.5
855,18.2,1.6
856,17.5,3.9
857,18.2,5
858,15.3,6.3
859,24.1,6.4
860,27.6,6.4
861,31.9,7
862,33.8,3.9
863,22.9,4.7
864,18.7,5.8
865,18.3,6.8
866,18.2,7.5
867,18.4,7.5
868,19.4,7.3
869,19.2,8
870,18.9,7.2
871,20.3,7.2
872,19.7,7.1
873,19.2,7.6
874,19,8.3
875,18.9,8
876,19.2,7.9
877,20.2,7.7
878,19.8,7.8
879,19.6,7.6
880,20,7.4
881,19.2,7.8
882,20.3,7.6
883,19.2,8.1
884,18.4,8.1
885,21.8,8.3
886,30.7,7.1
887,33.5,6.3
888,34.3,6.6
889,28.7,6.5
890,19.2,8.2
891,19.2,5.7
892,20.8,6.7
893,20.8,7.3
894,18.6,7.3
895,17.8,6.6
896,17.2,7.3
897,18.5,7.5
898,16.4,7.2
899,15.9,7.2
900,18.5,7.2
901,19.2,7
902,17.9,6.2
903,16,4.9
904,16.6,3.5
905,16.4,2.5
906,17.7,4.1
907,16.4,2
908,15.3,0.5
909,15.9,0.5
910,16.5,0
911,17.8,1.4
912,17.1,0.9
913,16.5,2.2
914,16.7,3.4
915,17.4,3.1
916,16,4.9
917,16.5,2.8
918,16.6,2.5
919,16.3,4.2
920,16.7,2.9
921,16,3.5
922,15.7,1.9
923,16.1,2.9
924,16.3,0.2
925,17.1,2.5
926,18.1,4.5
927,16.7,6.7
928,16.4,5.8
929,17.2,6.3
930,16,3.7
931,18,3.5
932,19.3,2.6
933,15.6,4
934,17.1,2.2
935,15.9,2
936,17.1,2.5
937,17.3,4
938,16.5,3.9
939,16.9,2.2
940,16.9,3.7
941,17.8,4.5
942,16.7,4.8
943,17.5,4
944,18.4,6.9
945,16.6,5.8
946,17.8,7.1
947,17.9,5.5
948,19.4,4.7
949,18.6,3.3
950,17.1,4.9
951,17,5.9
952,18.3,7.2
953,18.7,7.6
954,19.7,4.2
955,18.4,2.3
956,17.5,1.6
957,16.5,4.2
958,16.6,5.9
959,16.3,4.4
960,17.1,6.7
961,17.5,6.8
962,17.2,7.1
963,17.9,7.5
964,18.2,5.2
965,18.2,8
966,19.3,6.1
967,19.6,7.7
968,16.6,8.4
969,17.9,8.4
970,18.2,8.3
971,19.1,8.8
972,17,4.2
973,16.9,7.3
974,17.9,5
975,17.6,5.8
976,16.7,8
977,16.1,5.7
978,16,5.7
979,17,2.4
980,17.2,4.1
981,17.3,8
982,17.6,8.8
983,19.6,9.2
984,21.1,9.1
985,21.2,7.6
986,18.5,7.8
987,15.8,9.1
988,17.3,8.3
989,17.4,7.6
990,17.6,4.2
991,17.2,4.2
992,18.7,7.4
993,17.8,6.4
994,17.8,5.5
995,17.1,3
996,17.8,0
997,17.6,4
998,17.5,6.8
999,15.4,7.3
1000,16.8,7.8
1001,17,2.4
1002,17.9,2.6
1003,19.2,1.4
1004,19,2.8
1005,20.5,3.9
1006,17.9,2.2
1007,18.2,0.5
1008,14.8,6.9
1009,15.8,7.7
1010,15.7,7.9
1011,16.6,2.2
1012,16.7,1.9
1013,15.3,3.5
1014,17.5,3.8
1015,17.9,4.7
1016,17.8,5.6
1017,16.7,6.9
1018,17.1,6.4
1019,18.9,2.4
1020,17.1,0.8
1021,17,3.5
1022,18,1.1
1023,17.5,6.5
1024,15,9.1
1025,17,9.6
1026,15.2,8.5
1027,16.1,4.4
1028,17.4,2.6
1029,18.5,8.7
1030,15.9,9.5
1031,15.6,9.4
1032,16.1,8.2
1033,17,7.3
1034,17,7.7
1035,16.3,7.8
1036,15.9,8.6
1037,16.8,7.4
1038,14.8,7.6
1039,14,8.8
1040,14.9,8.9
1041,14.8,9.5
1042,14.8,9.2
1043,16.2,9.5
1044,16.7,9.6
1045,16,10
1046,17.9,10.1
1047,18.2,7.6
1048,17.3,8.9
1049,16.5,9.6
1050,15.3,9.5
1051,15.5,6.1
1052,15.8,8
1053,12.8,3.4
1054,14.9,3
1055,15.2,6.7
1056,16.3,7.8
1057,15.2,6.5
1058,14.1,7.9
1059,15.3,8.3
1060,16.7,8.1
1061,16.6,7.3
1062,13.7,7.5
1063,13.5,5.3
1064,16,7.6
1065,16.4,7.5
1066,14.2,6.5
1067,16.7,6.6
1068,15.3,7
1069,16.3,6
1070,18.3,6.8
1071,17.9,7.9
1072,17.5,6.6
1073,17.7,7.2
1074,16.3,8.1
1075,16.3,8.2
1076,17.1,8.7
1077,16.5,9
1078,17.3,9.1
1079,18.5,9.2
1080,17,9.6
1081,15.1,9.3
1082,16.3,9
1083,15.1,9.3
1084,16,9.2
1085,15.6,9.1
1086,16.3,9.5
1087,14.6,8.5
1088,14.2,9.3
1089,16.9,9.3
1090,15.9,9.6
1091,17.4,10.1
1092,17.8,10.1
1093,16,9.9
1094,16.4,9.9
1095,14.7,10.3
1096,16.8,10.6
1097,16.9,10.5
1098,16.2,10.5
1099,15.2,10.5
1100,16.4,10.4
1101,15.8,10.1
1102,14.9,10.2
1103,16.3,10.1
1104,16.4,9.8
1105,17.4,9.8
1106,16.9,10.3
1107,15.6,10.3
1108,16.2,10.3
1109,14.4,10.2
1110,15.5,10.3
1111,15.6,10.2
1112,17.8,10.5
1113,17.4,10.6
1114,16.4,10.7
1115,13.2,10.8
1116,11.5,10.8
1117,11.4,10.9
1118,13.2,11.1
1119,12.9,11.1
1120,14.1,11.2
1121,12.9,11.1
1122,12.8,11.2
1123,14.5,11.2
1124,13.8,11
1125,12.9,10.7
1126,15.6,10.6
1127,14.6,10.2
1128,17.1,10.8
1129,15.8,10.7
1130,13.8,11.1
1131,16.1,11.1
1132,15.3,11.2
1133,14.4,11
1134,16.3,11
1135,14.1,11.1
1136,14.9,11
1137,14.3,10.7
1138,15.6,10.5
1139,17.9,10.5
1140,17,10.7
1141,21,11
1142,8.2,11.2
1143,16.9,11.2
1144,17,11.1
1145,17.3,11.1
1146,16.1,11.1
1147,14.4,10.7
1148,16.8,10.5
1149,15.8,10.4
1150,16.8,10.8
1151,17.4,11.5
1152,17.6,11.8
1153,14.8,11.9
1154,16.4,12
1155,18.7,12.1
1156,20.7,12.2
1157,16.1,10.5
1158,17.4,11.5
1159,17.5,11.7
1160,17.5,9.2
1161,27.2,10.7
1162,26,10.9
1163,19,10.5
1164,17,10.4
1165,17.2,10.5
1166,18.2,10.3
1167,17.7,10.4
1168,18.9,9.4
1169,18.8,8.9
1170,18.6,8.2
1171,17.5,8.1
1172,19.1,8.1
1173,20,6.9
1174,18.1,8.7
1175,17.6,9.2
1176,17.5,7.5
1177,18.4,7.9
1178,18.3,6
1179,18.7,4.8
1180,17.9,7.8
1181,17.4,8
1182,17.1,8.7
1183,16.6,8.1
1184,17.8,8.5
1185,17.7,8.1
1186,18.1,6.3
1187,17.7,8.6
1188,18.3,8.6
1189,17.8,8.2
1190,16.8,8.5
1191,18.6,9.6
1192,18.4,9.5
1193,19.3,9.5
1194,21.4,8.6
1195,20,7.3
1196,17.6,7.5
1197,17,8.5
1198,18,9.3
1199,16.5,7.9
1200,16.1,5
1201,19.1,6.7
1202,17.2,5.9
1203,20.4,5.3
1204,20.9,7
1205,23.1,5.3
1206,23.2,7.5
1207,18.7,6.7
1208,18,4.9
1209,18.7,7.9
1210,21.7,8.6
1211,20.1,5.3
1212,20.9,6.7
1213,20.5,6.3
1214,19.8,6.4
1215,19.4,4.8
1216,19.2,4.5
1217,18.8,6.6
1218,20.5,6.7
1219,19.7,7
1220,19.1,6.4
1221,18,3.9
1222,17.1,7.5
1223,17.4,7
1224,17.8,7.6
1225,19.2,7.4
1226,20.4,7.9
1227,20.5,7.9
1228,19.6,8.4
1229,18.5,8.9
1230,19.4,9.4
1231,19,9.6
1232,18.1,8.8
1233,20.2,9.8
1234,18.4,8.4
1235,17.5,6.3
1236,19.3,5.6
1237,19.2,6
1238,19,6.5
1239,20,6.2
1240,19.2,7.4
1241,17.7,8.2
1242,18.8,7.7
1243,19.2,8.2
1244,19.1,8.6
1245,18.6,9.3
1246,18.9,9
1247,18.9,7.9
1248,17.6,6.8
1249,18.5,5.6
1250,20.7,4.2
1251,21.1,3.3
1252,20.1,4.8
1253,19,6.6
1254,19.6,2.7
1255,19.2,3.1
1256,18.7,6.2
1257,17.4,5.4
1258,17.7,6.6
1259,19.6,5.9
1260,20.5,7.4
1261,20.2,6.3
1262,21.1,5.2
1263,21.5,6.7
1264,20.2,6.4
1265,18.6,8.4
1266,18.2,8.3
1267,18.5,8
1268,20.6,7.2
1269,20.7,6.6
1270,21,6.5
1271,21.8,6
1272,20.2,6.6
1273,21.5,6.5
1274,22.6,6.4
1275,22.2,7
1276,23.7,7.3
1277,20.6,7.6
1278,20.8,7.8
1279,20.3,7.7
1280,19.3,5.7
1281,21,6.6
1282,21.9,6.5
1283,22.4,5.9
1284,20.7,5.2
1285,21.6,5.2
1286,18.8,6.2
1287,17.5,4.7
1288,21.2,6.5
1289,30.8,7.1
1290,25.1,7.5
1291,20.5,7.7
1292,24.8,7.7
1293,29.7,7.7
1294,24.3,7.9
1295,21.8,8
1296,17.6,7.7
1297,19.9,7.6
1298,18.4,7.6
1299,16.6,7.6
1300,27.1,7.4
1301,26.7,7.3
1302,22.8,7.6
1303,22.6,8.2
1304,19.3,8.3
1305,19.1,8.6
1306,20.9,8.9
1307,14.6,8.8
1308,21.1,9
1309,21.1,9.03
1310,27.3,9.07
1311,36.8,9.01
1312,41.2,9.31
1313,24.4,8.83
1314,29.2,7.25
1315,34.8,8.48
1316,29.8,8.62
1317,18.5,2.84
1318,19.2,6.4
1319,20.5,5.38
1320,20.8,3.7
1321,21.8,7.99
1322,21.1,7.12
1323,21.9,6.17
1324,21.9,7.49
1325,19.2,7.24
1326,19.3,7.48
1327,19.2,7.09
1328,18.7,6.6
1329,19.2,6.02
1330,22.7,3.89
1331,23.4,4.28
1332,22.7,7.53
1333,19.8,8
1334,18.4,8.41
1335,18.7,8.71
1336,35.4,9.04
1337,29.3,8.99
1338,18.7,8.8
1339,21.7,8.77
1340,28.6,8.25
1341,20.6,8.58
1342,23.6,8.85
1343,19.2,8.85
1344,20.3,8.76
1345,25.5,8.99
1346,19.1,8.95
1347,18,9.01
1348,27.2,8.98
1349,18,8.96
1350,22.5,9.09
1351,19.2,9.24
1352,18.5,9.31
1353,19,9.28
1354,19.8,9.34
1355,19.3,9.34
1356,19.2,9.36
1357,20.7,9.37
1358,17.7,9.36
1359,18.4,9.36
1360,18.7,9.4
1361,28.8,9.71
1362,20.2,9.76
1363,19.8,9.92
1364,19.1,10.09
1365,19.3,10.18
1366,19,10.19
1367,19.8,10.03
1368,18.6,9.7
1369,29.4,9.68
1370,24.2,9.57
1371,21.3,9.42
1372,20.2,9.58
1373,18.1,9.45
1374,18.1,9.37
1375,20.3,9.25
1376,20,9.19
1377,24,9.24
1378,18.4,9.25
1379,21.6,9.03
1380,19.8,9.22
1381,19.3,9.28
1382,19.4,8.78
1383,20,8.9
1384,21.3,8.82
1385,36,8.93
1386,22.6,8.94
1387,22,8.96
1388,21.8,9.02
1389,19,9.18
1390,19.2,9.17
1391,20.9,9.19
1392,16.1,9.42
1393,20.9,9.94
1394,21.3,10.45
1395,19.9,10.75
1396,18.9,10.76
1397,19.2,10.84
1398,18.5,10.77
1399,28,10.72
1400,17.5,10.64
1401,13.4,10.71
1402,20,10.86
1403,20,10.85
1404,20.2,10.74
1405,21.7,10.7
1406,21.4,10.64
1407,20.7,10.45
1408,20.5,10.19
1409,20.5,10.04
1410,18.4,9.91
1411,18.2,9.41
1412,19.4,8.5
1413,17.6,8.88
1414,17.9,8.87
1415,18.1,8.76
1416,17,8.57
1417,19.5,8.68
1418,18.5,8.84
1419,18.2,8.59
1420,18.2,9.14
1421,26.2,9.87
1422,17.9,10.35
1423,19.8,10.36
1424,24.1,10.47
1425,15.9,10.28
1426,21.2,10.21
1427,17.4,9.86
1428,19.7,9.57
1429,21.1,4.87
1430,21.6,5.21
1431,22.6,6.36
1432,23.3,9.48
1433,31.2,10.06
1434,34.7,10.38
1435,34.1,10.57
1436,27.8,10.64
1437,18.6,9.98
1438,18.7,7.69
1439,20.5,5.76
1440,20.7,4.05
1441,20.6,3.39
1442,20.2,1.98
1443,19.8,3.35
1444,20.5,2.04
1445,20.2,1.96
1446,21.8,1.61
1447,20.4,1.82
1448,19.6,0.87
1449,17.5,1.05
1450,16.6,1.12
1451,16.6,1.81
1452,17.3,0.67
1453,16.9,1.18
1454,16.2,2.48
1455,15.4,4.73
1456,16,4.67
1457,17.9,1.18
1458,16.7,3.77
1459,16.6,5.49
1460,16.8,4.95
1461,18.2,5.8
1462,30.7,9.36
1463,37,12.03
1464,35.1,12.18
1465,38.5,12.65
1466,23.2,12.8
1467,20.1,12.71
1468,36.9,12.81
1469,38.4,12.18
1470,37.1,9.49
1471,33.7,7.35
1472,24,7.39
1473,38.4,6.08
1474,37.3,7.23
1475,21.7,8.66
1476,10.1,10.11
1477,13.9,6.21
1478,25.1,8.91
1479,35.4,9.88
1480,35,10.24
1481,26,10.48
1482,30,10.67
1483,32,10.64
1484,31.2,10.44
1485,21.4,10.56
1486,33.9,10.76
1487,41.8,10.74
1488,42.2,10.84
1489,42.3,11.09
1490,42.1,11.06
1491,41.7,10.99
1492,41.4,10.99
1493,40.9,11
1494,41.1,10.9
1495,41.9,10.95
1496,42,11.09
1497,42.4,11.21
1498,28.8,11.2
1499,21.7,11.66
1500,20.3,12.02
1501,19.7,11.8
1502,38.2,11.64
1503,37.7,11.62
1504,42.4,11.52
1505,24.6,11.52
1506,24.3,11.41
1507,35.4,11.37
1508,33.7,11.43
1509,27.4,11.58
1510,25.4,11.67
1511,23.7,11.72
1512,41.8,11.76
1513,42.6,11.85
1514,43.4,11.89
1515,43.6,11.92
1516,35.3,11.92
1517,33.1,11.81
1518,28.7,11.71
1519,43.3,11.6
1520,33.3,11.54
1521,30.6,11.43
1522,28,11.21
1523,37.7,11.13
1524,21.5,11.06
1525,23.5,10.96
1526,23.6,10.95
1527,24.5,10.82
1528,19.9,10.5
1529,20.6,10.24
1530,20.3,9.64
1531,20.3,9.29
1532,19.9,7.88
1533,27.9,8.46
1534,24,7.12
1535,22,2.67
1536,20.4,5.19
1537,21.4,6
1538,19.3,4.53
1539,20.5,6.02
1540,20.2,7.64
1541,18.4,7.83
1542,20.2,7.87
1543,20.3,8.2
1544,19.2,8.24
1545,20.8,8.29
1546,21,8.57
1547,19.9,8.94
1548,36.5,9.76
1549,42.2,10.05
1550,29.2,10.34
1551,23.1,10.25
1552,20.6,9.96
1553,18.2,9.94
1554,19,9.59
1555,19.4,9.21
1556,19.3,8.86
1557,18.2,8.81
1558,18.1,8.65
1559,17.3,8.47
1560,17.3,8.44
1561,16.8,7.17
1562,18.4,7.66
1563,18.2,8.86
1564,18.1,8.81
1565,17.3,8.65
1566,17.3,8.47
1567,16.8,8.44
1568,18.4,7.17
1569,15.8,7.66
1570,18.9,7.54
1571,19.9,7.85
1572,18.5,8.25
1573,18.3,8.4
1574,19.8,8.78
1575,18.5,9.22
1576,17.6,9.26
1577,16.6,8.31
1578,15.8,9.38
1579,17.1,9.47
1580,18.3,8.38
1581,17.7,7.17
1582,17.2,7.47
1583,16.4,7.7
1584,16.8,7.93
1585,18.4,4.97
1586,20.6,8.34
1587,16.3,8.99
1588,16.4,9.02
1589,16.6,8.91
1590,15.7,8.82
1591,15.5,8.74
1592,13.7,8.66
1593,15.1,8.68
1594,17.4,8.72
1595,19.2,8.68
1596,19.6,8.87
1597,17.1,9.05
1598,18.5,9.15
1599,18.7,9.11
1600,19,9.55
1601,21.3,9.23
1602,19.7,9.69
1603,17.5,9.75
